model,BLEU,METEOR
opus_ft,85.50270070951055,0.9499754361715375
t5_ft,63.04840121829495,0.8458764551062099
opus_base,30.54348177613313,0.6442328536279804
t5_base,18.84327479880291,0.5194607396110457
